x,y,z,t,m82.33401232,-423.05672495,11.43349548,193,1092
79.97104323,-423.73124682,11.59768317,194,1173
79.71046398,-423.80848935,11.59494425,194,1390
79.75318888,-422.67454034,11.71860759,190,1402
79.90968114,-422.60557640,11.67622888,197,1652
79.89101426,-422.82572660,11.40015348,193,167
79.90906260,-421.97730394,11.56531553,194,1277
80.29120989,-421.94906684,11.53848632,194,133
80.56392789,-422.06309954,11.57379041,195,1204
80.18819722,-422.08098325,11.37328047,194,1237
80.35231383,-422.14413135,11.28208845,194,1916
80.25170010,-422.75979388,11.69936415,191,1204
80.32910256,-422.84457625,11.60903116,190,823
80.36636097,-422.69618628,11.52082276,190,895
80.33840906,-422.48603895,11.66757640,192,923
80.54989273,-422.42021739,11.46674386,196,1222
80.54701676,-422.84171153,11.42218675,194,108
81.03478398,-422.65950627,11.46034722,192,685
80.90561771,-422.68009070,11.26280618,190,1528
80.73937952,-422.54279044,11.52157709,193,941
80.64201835,-422.68272857,11.67495743,195,1154
80.57860980,-422.74842702,11.66653394,191,804
80.74502073,-422.70233035,11.49820730,192,1601
81.04716538,-422.70787035,11.61714483,195,886
81.03171753,-422.72127028,11.62573693,191,1070
81.36172175,-422.01657330,11.69283933,193,805
81.26599362,-422.50957827,11.23317772,193,877
81.40558050,-422.61146918,10.90500040,192,1258
81.10183002,-422.73072619,10.94161175,196,766
80.89901980,-422.25451427,10.21220998,194,1022
80.83747631,-422.09777556,10.19820581,199,1513
80.52789218,-422.57130123,10.72570245,191,614
80.60866336,-423.38618761,10.46243615,193,1191
81.23418131,-423.39932329,10.37775888,191,1187
81.19088423,-422.91189980,10.81407870,194,960
81.46830464,-423.01204001,11.47186063,191,1022
81.26284322,-423.13400801,11.54732925,195,169
80.62047357,-423.51640604,11.27791451,192,1216
80.65088167,-423.48153009,11.56286246,196,838
80.65948186,-423.53650877,11.67642234,192,1169
80.80944878,-423.02867096,11.48257486,192,614
80.61455200,-423.31738252,11.68615695,192,1074
80.42901190,-423.25710522,11.22992102,196,1040
80.28017595,-422.97812080,11.44058258,193,175
80.27360634,-422.90468468,11.24223114,194,1606
80.39728598,-423.04171154,11.35634614,194,1678
80.46950415,-422.90469393,11.54451135,193,894
80.16637620,-423.09224919,11.55242983,195,917
80.18973097,-423.25374084,11.54929998,190,1219
80.32153876,-423.58137568,11.68842503,197,602
80.23105921,-423.45923764,11.60999694,195,1244
80.51294055,-423.69678342,11.39271735,194,1189
80.16303460,-423.65619978,11.65944147,191,113
80.11040139,-423.84515055,11.24062204,193,1060
80.23556625,-424.18184051,11.51601265,194,1140
80.62897439,-423.85838810,11.17953392,197,1067
80.93385270,-423.86051066,11.29012850,196,1353
79.98516149,-423.90620049,11.32826625,192,1381
79.85950096,-424.17378286,11.17744886,190,819
80.52051790,-428.36239925,9.00356016,193,1195
78.62932395,-427.73419076,11.99512366,190,1107
78.14026482,-423.98603470,13.36127688,193,1258
78.36620667,-424.01808434,13.18547412,192,146
79.31725014,-424.20951442,13.44999869,204,198
79.77967876,-424.33118218,13.06197470,194,835
79.89038878,-424.63220588,12.27231499,191,704
79.50691683,-424.88541683,12.04934260,193,1043
80.75310213,-423.88048992,12.33488829,191,508
80.39535144,-423.87986448,12.63488600,195,854
80.11211954,-424.20616615,12.62362556,191,674
80.18811589,-424.44468453,12.45714788,192,838
80.11418860,-424.67160661,11.96970906,194,916
80.25295754,-423.85396908,12.14342653,190,667
80.49294650,-424.05233800,12.08547041,192,1056
80.14365469,-423.87956008,11.82663910,191,1011
80.32974502,-423.77392557,11.75527345,192,763
80.52237842,-423.70725134,11.88989277,194,1346
80.44900627,-423.83072919,11.87775195,191,1027
80.29518079,-423.52745460,12.05082129,194,1840
80.17851803,-423.25651978,11.74037942,192,983
80.12495014,-422.99664500,11.86669314,199,1375
80.18445111,-423.01429956,11.92337762,196,1238
80.21863381,-423.06673171,11.87937153,192,997
80.23814692,-422.95544329,11.82989324,196,970
80.32937878,-422.99304629,11.74132933,193,806
80.38418271,-422.88820878,11.91935653,192,669
80.46091567,-423.04808185,11.91656638,194,1012
80.42849286,-423.30563817,11.79324136,192,1081
80.41759879,-423.19627018,11.81377666,190,147
80.50002064,-423.10559461,11.99570432,190,1242
80.45654889,-422.87819138,12.01404251,192,1085
80.49515719,-422.91308330,11.99053068,194,1435
80.22598319,-423.01077483,12.20431131,194,672
80.16874268,-422.96438057,11.97559574,195,1127
80.38363241,-423.15479314,12.28824746,194,1231
80.24011895,-423.48268121,12.47201138,197,1699
80.23244984,-423.72424675,12.23999407,191,808
80.11267433,-423.68960664,12.20886492,196,1392
80.15677323,-423.57619152,12.42591067,192,133
80.47473061,-423.41748645,12.25853258,191,1089
80.89908215,-423.34194395,12.38262056,193,71
80.84652035,-423.16268831,12.09960679,193,1868
80.64434613,-423.22596492,11.87869446,193,1171
80.83537027,-423.00700621,11.81456309,194,699
80.67509606,-423.58814772,11.93792885,196,744
80.75597095,-423.51820573,12.06942057,199,1114
80.64119085,-423.55002197,12.09052591,192,881
80.93205722,-423.40262492,12.09473833,193,146
81.05404585,-423.60125890,11.86006192,193,1481
80.67664243,-423.51977039,12.74497559,191,1000
80.59336872,-423.11715623,13.09168756,190,853
80.64204107,-422.31894022,12.18023223,197,1156
80.82551055,-422.56761730,11.90859571,194,1637
80.78784130,-422.64230839,11.90319260,198,1691
80.70940743,-422.74989362,12.25293565,192,95
80.44058458,-422.13176629,12.49220848,191,834
80.36167595,-422.61598655,12.48451100,203,1704
80.50412461,-422.67731023,12.24973922,204,1824
80.18475142,-422.53195147,12.25477860,190,1107
80.26683674,-422.72115940,12.20006916,194,847
80.43224199,-422.74226742,12.12592080,195,180
